Id Taxista R,Id Viaje R,Distancia,Duracion
815,1143,"5,522","1,230"
815,1587,"2,029",519
815,1590,"1,880",542
815,2119,"1,730",484
815,2183,"5,571","1,271"
815,2252,"2,521",905
815,2375,"2,144",693
815,2403,"1,445",340
815,3149,"7,787","1,220"
815,3168,"4,979","1,161"
815,3271,"4,248",926
815,3281,"4,260",720
815,3306,"1,786",741
815,3360,"5,172","1,119"
815,3413,"2,669",693
815,3706,"8,746","1,914"
815,3760,"1,140",417
815,3807,"2,287",619
815,3987,"6,648","1,563"
815,4215,"7,324","1,473"
815,4221,"5,060","1,059"
815,4255,"3,378",813
815,4463,"4,771","1,068"
815,4647,"3,025",789
815,4831,"4,220",953
815,4851,"7,789","1,227"
815,4895,"2,282",624
815,5323,"6,076","1,158"
815,5325,"1,267",497
815,5392,"2,847",666
815,5396,"3,109",759
815,5655,"2,635",832
815,5720,"7,299","1,370"
815,5939,"2,149",597
815,5948,"1,547",421
815,5960,"3,066",922
815,6088,"2,017",549
815,6362,"2,509",624
815,6396,"5,474","1,184"
815,6402,"8,054","1,698"
815,6437,"12,787","1,842"
815,6450,"2,122",534
815,6602,"5,476","1,292"
815,7146,"12,625","1,372"
815,7161,"7,113","1,604"
815,7168,"1,264",364
815,7302,735,194
815,7333,"1,691",503
815,7361,"4,971","1,107"
815,7956,"1,703",542
815,8105,"1,973",637
815,8137,"2,926",940
815,8490,"2,452",513
815,9208,"1,217",255
815,9260,"3,026",708
815,9304,"5,798","1,268"
815,9356,"2,470",602
815,9462,"1,645",558
815,9579,"4,550","1,209"
815,9642,"6,691","1,451"
815,9830,"2,944",697
815,9837,"4,693","1,141"
815,9855,"2,859",740
815,9866,"5,163","1,272"
815,10590,"8,808","1,441"
815,10603,"5,391",965
815,10644,"7,433","1,354"
815,10675,"4,803","1,278"
815,10837,"1,860",566
815,10888,"7,484","1,755"
815,10939,"5,361","1,500"
815,11015,"1,598",474
815,11071,"9,928","2,147"
815,11170,"4,361",890
815,11179,"1,397",352
815,11258,"5,158","1,065"
815,11389,"4,660","1,180"
815,11707,"4,392","1,092"
815,11722,855,209
815,11731,747,315
815,11798,"1,907",556
815,12168,"3,411",940
815,12247,"3,000",864
815,12256,"2,159",525
815,12278,"3,850",994
815,12867,16,65
815,12874,"4,132","1,072"
815,12882,"5,486","1,075"
815,12913,"1,359",457
815,13221,"4,623","1,083"
815,13241,"5,934","1,269"
815,13250,"6,505","1,526"
815,13258,"1,576",632
815,13377,"2,813",847
815,13406,"3,454",853
815,13428,"3,449",932
815,13945,"2,361",609
815,13949,"2,407",577
815,13955,"5,796","1,454"
815,14139,"2,951","1,202"
815,14313,"4,604","1,241"
815,14328,"3,346",786
815,14438,"5,379","1,299"
815,14520,"5,867","1,303"
815,14560,986,501
815,14639,"5,502","1,220"
815,14651,"4,200","1,052"
815,14674,"1,820",551
815,14688,"6,383","1,739"
815,14852,"2,354",608
815,14943,"3,017",641
815,14961,"7,091","1,472"
815,15189,"2,219",674
815,15407,"2,503",507
815,15449,"6,550","1,496"
815,15636,965,334
815,15656,"5,050","1,044"
815,15680,"1,836",580
815,15695,977,423
815,16572,"2,789",737
815,16627,"3,203",828
815,17031,"6,543","1,397"
815,17035,"4,630","1,159"
815,17044,"3,535",902
815,17147,"3,820",907
815,17174,"1,954",622
815,18980,"2,667",686
8,14,"2,502",514
8,27,"10,199","1,506"
8,41,"9,991","1,666"
8,191,"2,658",750
8,456,"4,009",927
8,470,"6,926",874
8,498,"1,421",444
8,527,"3,057",718
8,529,"3,215","1,148"
8,537,676,290
8,554,"1,945",681
8,648,"13,463","2,327"
8,697,"3,187","1,001"
8,705,"2,737",754
8,955,937,379
8,1083,"6,007","1,343"
8,1103,"28,045","2,048"
8,1283,712,240
8,1290,"4,973","1,161"
8,1297,"5,855","1,040"
8,1311,"3,502",820
8,1320,"1,491",467
8,1372,9,255
8,1484,"5,475","1,407"
8,1616,"1,701",300
8,1849,"2,412",840
8,1915,"1,271",369
8,2074,889,323
8,2279,"6,464","1,599"
8,2419,"1,455",653
8,2482,"2,296",689
8,2535,"3,767",817
8,2555,"4,438",830
8,2728,"6,955","1,268"
8,2911,"10,077","1,623"
8,2929,"8,642","1,661"
8,2935,"1,462",669
8,3001,"2,771",773
8,3005,"3,258",987
8,3014,"3,995",911
8,3139,"2,584",794
8,3191,"1,151",299
8,3201,"1,434",518
8,3346,"3,336",891
8,3455,"6,150","1,072"
8,3676,"1,437",562
8,4030,664,196
8,4095,"7,236","1,452"
8,4177,"2,830",663
8,4184,"6,384","1,522"
8,4284,620,243
8,4286,"2,791",806
8,4350,"5,834","1,523"
8,4459,898,378
8,4579,"1,909",576
8,4849,"1,176",333
8,4996,"1,434",456
8,5011,"3,178",694
8,5028,"2,663",654
8,5147,"7,340",465
8,5151,"4,115",958
8,5173,974,373
8,5234,"4,201",821
8,5303,"5,598","1,580"
8,5309,"2,739",702
8,5311,"1,607",492
8,5387,"5,743","1,279"
8,5946,"5,334",858
8,5952,"2,893",764
8,6250,"9,494","1,654"
8,6281,"5,996","1,328"
8,6360,"4,402","1,103"
8,6419,"1,482",392
8,6427,"5,910","1,166"
8,6458,"1,494",396
8,6479,"3,723",959
8,6652,"1,106",454
8,7120,"5,598","1,305"
8,7352,"5,082","1,055"
8,7362,918,217
8,7371,987,410
8,7389,731,368
8,7422,"11,371","2,698"
8,7845,"8,208","1,765"
8,8007,"2,328",570
8,8109,"2,879",750
8,8186,"2,544","1,067"
8,8331,"1,850",661
8,8339,"2,228",516
8,8518,"9,286","2,026"
8,8761,"1,330",490
8,9041,"2,504",617
8,9059,"11,912","1,503"
8,9082,"3,409",997
8,9247,"1,527",467
8,9256,"3,892","1,024"
8,9328,"4,191",897
8,9351,"3,261",865
8,9410,"1,669",570
8,9658,"2,720",702
8,9688,"1,929",554
8,9796,678,316
8,9822,"3,608",854
8,10305,"4,858","1,185"
8,10663,"2,920",748
8,10831,"5,597","1,324"
8,10848,"2,052",607
8,10937,"6,125","1,543"
8,10956,742,280
8,11048,"7,894","1,817"
8,11103,"1,657",590
8,11126,"2,141",751
8,11359,"1,881",652
8,11385,"4,475",994
8,11499,"2,932",707
8,11560,"3,367",817
8,11756,"7,436","1,727"
8,11819,"2,585",826
8,12035,"5,122","1,357"
8,12160,16,"1,361"
8,12261,"2,397",763
8,12280,"7,244","1,449"
8,12408,"3,641","1,160"
8,12626,"2,000",563
8,12632,"4,943","1,137"
8,12783,"2,877",748
8,12790,"1,264",491
8,12812,"1,076",368
8,12901,"7,860","1,568"
8,13012,"4,481","1,228"
8,13115,"1,840",523
8,13131,"8,352","1,716"
8,13282,"6,814","1,425"
8,13310,"5,344","1,260"
8,13337,"1,838",493
8,13349,"1,316",428
8,15374,"5,064","1,313"
8,16829,"1,660",445
8,16888,"1,696",495
8,16904,"1,413",490
8,17085,"3,738",740
8,17668,"4,448",834
8,18783,"2,576",637
692,83,"4,919","1,275"
692,84,"1,889",623
692,87,"1,658",565
692,138,"2,189",470
692,203,"4,686","1,251"
692,205,"2,882",754
692,971,"2,855","1,010"
692,1111,"6,372","1,349"
692,1115,"6,778","1,607"
692,1144,"1,093",362
692,1322,"3,059",861
692,1639,"5,065","1,318"
692,1758,"6,488","1,224"
692,2094,"2,717",747
692,2281,"3,083",644
692,2570,"4,108","1,026"
692,2662,"4,182","1,388"
692,3211,"2,226",637
692,3464,"2,150",735
692,3468,"7,761","1,476"
692,3575,"3,808",830
692,3582,"1,980",399
692,3587,"7,887","1,817"
692,3684,"7,042","1,659"
692,3704,"4,488","1,339"
692,3925,"1,329",406
692,3942,"1,995",788
692,4076,"7,564","1,606"
692,4102,"1,381",585
692,4501,"2,893",921
692,4527,"3,036",789
692,4619,680,269
692,4744,"7,172","1,577"
692,4762,"9,052","1,510"
692,4767,526,311
692,4774,"1,766",559
692,4890,"5,955",892
692,5553,11,459
692,5572,"1,172",384
692,5830,"1,535",548
692,5967,"7,344","2,054"
692,5984,"2,874",775
692,5988,"2,493",685
692,5995,"1,006",580
692,6489,"9,346","1,429"
692,6493,"2,603",887
692,6514,"1,668",654
692,6929,"2,143",621
692,6938,"9,739","1,736"
692,7048,"3,154",765
692,7240,"8,427","1,228"
692,7531,"7,187","1,225"
692,7556,"7,043","1,311"
692,7638,"1,253",351
692,7641,860,274
692,7888,"2,387",646
692,8676,"8,029","1,770"
692,9115,"1,022",277
692,9140,"3,563",802
692,9149,"1,492",371
692,9441,"5,025",937
692,10334,"4,530","1,248"
692,10386,"6,010","1,027"
692,10714,"7,433","1,320"
692,11146,"2,840",801
692,11298,"2,233",815
692,11417,"4,336","1,331"
692,11614,"3,948","1,001"
692,12092,"4,370","1,451"
