Calculation1,Year of Fecha,Month of Fecha,Estacion,Lat,Long,PromedioPasajeros
192,2018,March,CORDOBA,-34.59845511,-58.4037215,"5,999"
193,2018,March,CORRIENTES,-34.6044902,-58.40545033,"5,311"
194,2018,March,DIAGONAL NORTE,-34.60484374,-58.37952998,"5,281"
195,2018,March,DORREGO,-34.59171815,-58.44757309,"10,512"
196,2018,March,ECHEVERRIA,-34.57779738,-58.4810135,"5,558"
197,2018,March,EMILIO MITRE,-34.63104184,-58.44217071,"4,852"
198,2018,March,ENTRE RIOS,-34.62271967,-58.3915117,"2,151"
199,2018,March,FACULTAD DE MEDICINA,-34.59975708,-58.39792376,"15,005"
200,2018,March,FEDERICO LACROZE,-34.58719785,-58.45502929,"24,903"
201,2018,March,FLORES,-34.62908723,-58.46354051,"9,685"
202,2018,March,FLORIDA,-34.60329729,-58.37507152,"16,258"
203,2018,March,GENERAL BELGRANO,-34.61284911,-58.37758089,"2,441"
204,2018,March,GENERAL SAN MARTIN,-34.5950574,-58.37781905,"7,722"
205,2018,March,HOSPITALES,-34.64126894,-58.41238515,"9,141"
206,2018,March,HUMBERTO I,-34.62309232,-58.40232273,"4,846"
207,2018,March,INCLAN,-34.62937566,-58.40096956,"4,288"
208,2018,March,INDEPENDENCIA,-34.6181256,-58.38017361,"11,881"
209,2018,March,INDEPENDENCIA,-34.61793739,-58.38153494,"11,881"
210,2018,March,JOSE HERNANDEZ,-34.56621524,-58.4521256,"10,122"
211,2018,March,JOSE MARIA MORENO,-34.62801755,-58.43381625,"3,308"
212,2018,March,JUJUY,-34.62386571,-58.40293658,"2,691"
213,2018,March,JURAMENTO,-34.56230909,-58.45648913,"14,922"
214,2018,March,LAS HERAS,-34.58746155,-58.39721558,"12,219"
215,2018,March,LAVALLE,-34.60176992,-58.37815578,"8,384"
216,2018,March,LEANDRO N. ALEM,-34.6029895,-58.36992985,"20,176"
217,2018,March,LIMA,-34.60909981,-58.3822324,"6,453"
218,2018,March,LORIA,-34.61078169,-58.41518571,"6,661"
219,2018,March,LOS INCAS,-34.58124885,-58.47424083,"8,746"
220,2018,March,MALABIA,-34.59896736,-58.4397715,"15,871"
221,2018,March,MARIANO MORENO,-34.61261728,-58.38044447,"6,285"
222,2018,March,MEDALLA MILAGROSA,-34.63638919,-58.45027826,"1,579"
223,2018,March,MEDRANO,-34.6031649,-58.42096247,"14,991"
224,2018,March,MINISTRO CARRANZA,-34.57517836,-58.43501353,"10,249"
225,2018,March,OLLEROS,-34.57001231,-58.44466815,"11,024"
226,2018,March,ONCE,-34.60893524,-58.40603638,"10,913"
227,2018,March,PALERMO,-34.57842202,-58.42571144,"15,266"
228,2018,March,PASCO,-34.60964596,-58.39842699,"3,196"
229,2018,March,PASTEUR,-34.60464297,-58.39947426,"11,034"
230,2018,March,PATRICIOS,-34.63840599,-58.40579483,"8,065"
231,2018,March,PERU,-34.60855907,-58.37426773,"10,367"
232,2018,March,PICHINCHA,-34.62310987,-58.39706807,"2,074"
233,2018,March,PIEDRAS,-34.60888172,-58.37908515,"5,889"
234,2018,March,PLAZA DE MAYO,-34.60881031,-58.3709685,"14,167"
235,2018,March,PLAZA ITALIA,-34.58141119,-58.42119601,"10,980"
236,2018,March,PLAZA MISERERE,-34.60981725,-58.40670712,"11,179"
237,2018,March,PRIMERA JUNTA,-34.62040521,-58.44117763,"10,575"
238,2018,March,PUAN,-34.62352895,-58.44864765,"5,842"
239,2018,March,PUEYRREDON,-34.60458106,-58.40539944,"10,657"
240,2018,March,PUEYRREDON.D,-34.59442572,-58.40239534,"8,877"
241,2018,March,PZA. DE LOS VIRREYES,-34.64331216,-58.46165176,"6,843"
242,2018,March,RETIRO,-34.59119381,-58.37401822,"33,245"
243,2018,March,RIO DE JANEIRO,-34.61520561,-58.42950032,"9,013"
244,2018,March,ROSAS,-34.57431891,-58.48638535,"21,915"
245,2018,March,SAN JOSE,-34.62233949,-58.38514855,"2,350"
246,2018,March,SAN JUAN,-34.62191673,-58.37992118,"4,970"
247,2018,March,SAN PEDRITO,-34.63070709,-58.46963963,"22,809"
248,2018,March,SANTA FE,-34.5945254,-58.40237618,"8,815"
249,2018,March,SCALABRINI ORTIZ,-34.58515594,-58.41595542,"10,854"
250,2018,March,TRIBUNALES,-34.60158717,-58.38514236,"12,249"
251,2018,March,TRONADOR,-34.58409462,-58.4662272,"4,869"
252,2018,March,URQUIZA,-34.62465379,-58.40939078,"2,712"
253,2018,March,URUGUAY,-34.60409355,-58.38729613,"13,729"
254,2018,March,VARELA,-34.64013735,-58.45789176,"1,913"
255,2018,March,VENEZUELA,-34.61524215,-58.40473172,"6,358"
256,2018,April,9 DE JULIO,-34.6042452,-58.38057434,"3,522"
257,2018,April,ACOYTE,-34.61827997,-58.43642853,"6,287"
258,2018,April,AGUERO,-34.59162784,-58.40716132,"3,819"
259,2018,April,ALBERTI,-34.60983358,-58.40120753,"2,087"
260,2018,April,ANGEL GALLARDO,-34.60216223,-58.43127386,"7,124"
261,2018,April,AVENIDA DE MAYO,-34.60898331,-58.38061072,"2,541"
262,2018,April,AVENIDA LA PLATA,-34.62701547,-58.42678902,"2,253"
263,2018,April,BOEDO,-34.62536611,-58.41553282,"2,226"
264,2018,April,BOLIVAR,-34.60924243,-58.37368422,"5,377"
265,2018,April,BULNES,-34.58823711,-58.4112939,"7,278"
266,2018,April,CALLAO,-34.59963955,-58.39312518,"5,162"
267,2018,April,CALLAO.B,-34.60441954,-58.39231424,"6,997"
268,2018,April,CARABOBO,-34.62666659,-58.4567098,"5,043"
269,2018,April,CARLOS GARDEL,-34.60407952,-58.4117626,"10,544"
270,2018,April,CARLOS PELLEGRINI,-34.60363711,-58.38071485,"9,980"
271,2018,April,CASEROS,-34.63575018,-58.39892759,"2,942"
272,2018,April,CASTRO BARROS,-34.61177023,-58.42181567,"3,924"
273,2018,April,CATEDRAL,-34.60780234,-58.37395581,"11,805"
274,2018,April,CONGRESO,-34.60922568,-58.39266882,"5,471"
275,2018,April,CONGRESO DE TUCUMAN,-34.55564177,-58.46237841,"10,357"
276,2018,April,CONSTITUCION,-34.62761945,-58.38143443,"37,388"
277,2018,April,CORDOBA,-34.59845511,-58.4037215,"2,665"
278,2018,April,CORRIENTES,-34.6044902,-58.40545033,"2,709"
279,2018,April,DIAGONAL NORTE,-34.60484374,-58.37952998,"2,329"
280,2018,April,DORREGO,-34.59171815,-58.44757309,"6,071"
281,2018,April,ECHEVERRIA,-34.57779738,-58.4810135,"3,011"
282,2018,April,EMILIO MITRE,-34.63104184,-58.44217071,"2,727"
283,2018,April,ENTRE RIOS,-34.62271967,-58.3915117,"1,102"
284,2018,April,FACULTAD DE MEDICINA,-34.59975708,-58.39792376,"3,812"
285,2018,April,FEDERICO LACROZE,-34.58719785,-58.45502929,"12,340"
286,2018,April,FLORES,-34.62908723,-58.46354051,"5,238"
287,2018,April,FLORIDA,-34.60329729,-58.37507152,"8,670"
288,2018,April,GENERAL BELGRANO,-34.61284911,-58.37758089,"1,160"
289,2018,April,GENERAL SAN MARTIN,-34.5950574,-58.37781905,"3,923"
290,2018,April,HOSPITALES,-34.64126894,-58.41238515,"4,724"
291,2018,April,HUMBERTO I,-34.62309232,-58.40232273,"2,827"
292,2018,April,INCLAN,-34.62937566,-58.40096956,"2,345"
293,2018,April,INDEPENDENCIA,-34.6181256,-58.38017361,"6,113"
294,2018,April,INDEPENDENCIA,-34.61793739,-58.38153494,"6,113"
295,2018,April,JOSE HERNANDEZ,-34.56621524,-58.4521256,"4,297"
296,2018,April,JOSE MARIA MORENO,-34.62801755,-58.43381625,"1,871"
297,2018,April,JUJUY,-34.62386571,-58.40293658,"1,566"
298,2018,April,JURAMENTO,-34.56230909,-58.45648913,"7,595"
299,2018,April,LAS HERAS,-34.58746155,-58.39721558,"6,160"
300,2018,April,LAVALLE,-34.60176992,-58.37815578,"4,399"
301,2018,April,LEANDRO N. ALEM,-34.6029895,-58.36992985,"10,652"
302,2018,April,LIMA,-34.60909981,-58.3822324,"3,407"
303,2018,April,LORIA,-34.61078169,-58.41518571,"3,436"
304,2018,April,LOS INCAS,-34.58124885,-58.47424083,"4,402"
305,2018,April,MALABIA,-34.59896736,-58.4397715,"8,398"
306,2018,April,MARIANO MORENO,-34.61261728,-58.38044447,"3,193"
307,2018,April,MEDALLA MILAGROSA,-34.63638919,-58.45027826,850
308,2018,April,MEDRANO,-34.6031649,-58.42096247,"7,873"
309,2018,April,MINISTRO CARRANZA,-34.57517836,-58.43501353,"4,447"
310,2018,April,OLLEROS,-34.57001231,-58.44466815,"4,577"
311,2018,April,ONCE,-34.60893524,-58.40603638,"5,711"
312,2018,April,PALERMO,-34.57842202,-58.42571144,"8,283"
313,2018,April,PASCO,-34.60964596,-58.39842699,"1,678"
314,2018,April,PASTEUR,-34.60464297,-58.39947426,"4,895"
315,2018,April,PATRICIOS,-34.63840599,-58.40579483,"4,563"
316,2018,April,PERU,-34.60855907,-58.37426773,"5,788"
317,2018,April,PICHINCHA,-34.62310987,-58.39706807,"1,226"
318,2018,April,PIEDRAS,-34.60888172,-58.37908515,"2,957"
319,2018,April,PLAZA DE MAYO,-34.60881031,-58.3709685,"8,452"
320,2018,April,PLAZA ITALIA,-34.58141119,-58.42119601,"6,439"
321,2018,April,PLAZA MISERERE,-34.60981725,-58.40670712,"6,646"
322,2018,April,PRIMERA JUNTA,-34.62040521,-58.44117763,"6,063"
323,2018,April,PUAN,-34.62352895,-58.44864765,"2,622"
324,2018,April,PUEYRREDON,-34.60458106,-58.40539944,"5,349"
325,2018,April,PUEYRREDON.D,-34.59442572,-58.40239534,"3,874"
326,2018,April,PZA. DE LOS VIRREYES,-34.64331216,-58.46165176,"3,693"
327,2018,April,RETIRO,-34.59119381,-58.37401822,"20,163"
328,2018,April,RIO DE JANEIRO,-34.61520561,-58.42950032,"4,492"
329,2018,April,ROSAS,-34.57431891,-58.48638535,"11,292"
330,2018,April,SAN JOSE,-34.62233949,-58.38514855,"1,116"
331,2018,April,SAN JUAN,-34.62191673,-58.37992118,"2,467"
332,2018,April,SAN PEDRITO,-34.63070709,-58.46963963,"11,041"
333,2018,April,SANTA FE,-34.5945254,-58.40237618,"4,444"
334,2018,April,SCALABRINI ORTIZ,-34.58515594,-58.41595542,"5,522"
335,2018,April,TRIBUNALES,-34.60158717,-58.38514236,"4,447"
336,2018,April,TRONADOR,-34.58409462,-58.4662272,"2,345"
337,2018,April,URQUIZA,-34.62465379,-58.40939078,"1,434"
338,2018,April,URUGUAY,-34.60409355,-58.38729613,"5,786"
339,2018,April,VARELA,-34.64013735,-58.45789176,"1,026"
340,2018,April,VENEZUELA,-34.61524215,-58.40473172,"3,573"
341,2018,May,9 DE JULIO,-34.6042452,-58.38057434,"9,416"
342,2018,May,ACOYTE,-34.61827997,-58.43642853,"12,977"
343,2018,May,AGUERO,-34.59162784,-58.40716132,"10,158"
344,2018,May,ALBERTI,-34.60983358,-58.40120753,"4,444"
345,2018,May,ANGEL GALLARDO,-34.60216223,-58.43127386,"14,833"
346,2018,May,AVENIDA DE MAYO,-34.60898331,-58.38061072,"6,088"
347,2018,May,AVENIDA LA PLATA,-34.62701547,-58.42678902,"4,836"
348,2018,May,BOEDO,-34.62536611,-58.41553282,"4,357"
349,2018,May,BOLIVAR,-34.60924243,-58.37368422,"13,483"
350,2018,May,BULNES,-34.58823711,-58.4112939,"15,239"
351,2018,May,CALLAO,-34.59963955,-58.39312518,"14,298"
352,2018,May,CALLAO.B,-34.60441954,-58.39231424,"17,208"
353,2018,May,CARABOBO,-34.62666659,-58.4567098,"11,183"
354,2018,May,CARLOS GARDEL,-34.60407952,-58.4117626,"15,045"
355,2018,May,CARLOS PELLEGRINI,-34.60363711,-58.38071485,"20,937"
356,2018,May,CASEROS,-34.63575018,-58.39892759,"6,302"
357,2018,May,CASTRO BARROS,-34.61177023,-58.42181567,"8,713"
358,2018,May,CATEDRAL,-34.60780234,-58.37395581,"32,367"
359,2018,May,CONGRESO,-34.60922568,-58.39266882,"13,285"
360,2018,May,CONGRESO DE TUCUMAN,-34.55564177,-58.46237841,"30,229"
361,2018,May,CONSTITUCION,-34.62761945,-58.38143443,"79,975"
362,2018,May,CORDOBA,-34.59845511,-58.4037215,"6,612"
363,2018,May,CORRIENTES,-34.6044902,-58.40545033,"5,989"
