Year of Fecha,Month of Fecha,Estacion,Lat,Long,PersonasPromedio
2017,March,PASCO,-34.60964596,-58.39842699,"3,240"
2017,March,PASTEUR,-34.60464297,-58.39947426,"11,759"
2017,March,PATRICIOS,-34.63840599,-58.40579483,"7,221"
2017,March,PERU,-34.60855907,-58.37426773,"11,419"
2017,March,PICHINCHA,-34.62310987,-58.39706807,"2,098"
2017,March,PIEDRAS,-34.60888172,-58.37908515,"6,484"
2017,March,PLAZA DE MAYO,-34.60881031,-58.3709685,"17,673"
2017,March,PLAZA ITALIA,-34.58141119,-58.42119601,"10,585"
2017,March,PLAZA MISERERE,-34.60981725,-58.40670712,"11,339"
2017,March,PRIMERA JUNTA,-34.62040521,-58.44117763,"11,172"
2017,March,PUAN,-34.62352895,-58.44864765,"6,147"
2017,March,PUEYRREDON,-34.60458106,-58.40539944,"11,183"
2017,March,PUEYRREDON.D,-34.59442572,-58.40239534,"9,382"
2017,March,PZA. DE LOS VIRREYES,-34.64331216,-58.46165176,"7,847"
2017,March,RETIRO,-34.59211436,-58.37584984,"64,540"
2017,March,RETIRO,-34.59119381,-58.37401822,"64,540"
2017,March,RIO DE JANEIRO,-34.61520561,-58.42950032,"9,268"
2017,March,ROSAS,-34.57431891,-58.48638535,"24,079"
2017,March,SAENZ PEÑA,-34.60941259,-58.38677719,"8,279"
2017,March,SAN JOSE,-34.62233949,-58.38514855,"2,377"
2017,March,SAN JUAN,-34.62191673,-58.37992118,"5,578"
2017,March,SAN PEDRITO,-34.63070709,-58.46963963,"23,631"
2017,March,SANTA FE,-34.5945254,-58.40237618,"7,569"
2017,March,SCALABRINI ORTIZ,-34.58515594,-58.41595542,"11,330"
2017,March,TRIBUNALES,-34.60158717,-58.38514236,"13,634"
2017,March,TRONADOR,-34.58409462,-58.4662272,"5,031"
2017,March,URQUIZA,-34.62465379,-58.40939078,"2,881"
2017,March,URUGUAY,-34.60409355,-58.38729613,"15,252"
2017,March,VARELA,-34.64013735,-58.45789176,"2,047"
2017,March,VENEZUELA,-34.61524215,-58.40473172,"5,885"
2017,April,9 DE JULIO,-34.6042452,-58.38057434,"8,442"
2017,April,ACOYTE,-34.61827997,-58.43642853,"11,965"
